PLL in-chamber,PLL rinsed,PLL air-dried,PEI,Cell-Tak,APTES,Gel pad
0.750646204,,,,2.153412092,1.926854973,1.121761807
5.509950446,,,,0.661592605,0.550724158,0.779710958
1.23499616,,,,1.320049943,1.077814094,1.089336628
6.79386968,,,,1.609347556,1.772148603,2.221700052
3.077728972,,,,1.595784509,0.646165069,1.973047351
0.429293908,,,,2.039580746,0.590055182,1.833723931
0.843503037,,,,1.79792262,0.681111238,1.151341285
0.957204674,,,,1.462734462,2.155665247,1.471252401
2.248077893,,,,0.793424594,0.738074637,1.087727841
2.768609323,,,,1.235910286,0.731579937,1.339521704
1.198152404,,,,1.074598367,1.049511749,0.93845777
3.175838923,,,,1.487762215,0.997490431,1.528097449
0.892183426,,,,0.91392766,1.098434735,0.966842677
0.475454144,,,,0.802019197,2.58606613,2.99568794
0.715580575,,,,0.89732814,0.41000787,4.020020308
1.436190358,,,,0.705302545,2.094190991,2.69533066
3.204611067,,,,1.735579484,0.646598128,2.63837718
1.353665725,,,,1.156578875,2.202319862,1.365222038
0.501001112,,,,0.939028264,2.383136087,2.220160672
1.841991281,,,,2.083453517,1.466965854,1.500067284
1.958419937,,,,1.053764335,1.801939974,0.536755665
1.187145461,,,,0.903698435,1.779329231,0.507629002
0.708514829,,,,0.360583283,1.922272762,0.859262667
1.114598293,,,,,4.864948731,2.188701557
2.897857468,,,,,0.679829856,1.429204309
0.90781959,,,,,2.371380044,0.891846385
1.151405412,,,,,1.398620193,2.82850728
2.450218004,,,,,1.153453832,1.19771956
0.738617367,,,,,3.42906835,6.531958043
1.66618188,,,,,1.735132078,1.950130026
0.76017959,,,,,1.279688085,1.991959454
0.578422935,,,,,0.603280054,1.205800714
0.706008906,,,,,1.41351109,1.07263701
1.898153258,,,,,1.080992053,1.519071317
0.692256965,,,,,1.663529339,0.974722988
2.598186614,,,,,2.971122987,0.607476303
0.73847963,,,,,0.917705984,1.711625178
0.665927493,,,,,1.076603202,0.550288245
0.682831041,,,,,0.880741573,0.713968511
0.899153191,,,,,2.40014207,1.673720887
1.894250842,,,,,1.109215697,1.365848981
1.409083521,,,,,0.851447336,2.750964384
1.139351004,,,,,3.800511027,2.619430851
1.271120138,,,,,0.942176373,1.917061
2.453011046,,,,,3.660395619,1.901448214
1.105264409,,,,,0.24483326,0.386530482
1.087623824,,,,,2.807355276,1.814397357
1.548133047,,,,,0.426726989,4.346830279
1.298743792,,,,,1.602435151,0.884007453
1.575760575,,,,,0.524177815,0.345896622
1.233804657,,,,,1.428814253,2.568444445
2.460651686,,,,,2.486378942,1.299140605
0.829348957,,,,,0.710328993,1.188136953
2.156388595,,,,,0.357014939,1.045030006
0.580394278,,,,,1.858778728,0.679559237
1.801527983,,,,,2.037599947,1.67056268
1.66550987,,,,,1.828504064,0.856377382
2.179864542,,,,,1.88244068,1.171500679
0.666300953,,,,,0.5183019,0.826860662
3.295710415,,,,,0.635165439,1.619709245
1.526856962,,,,,0.299418921,1.073410174
4.281796968,,,,,0.804391831,1.873126462
0.6438847,,,,,1.488833635,0.838891197
2.49977294,,,,,1.240021652,1.553482478
1.751831314,,,,,0.956742152,1.393366262
0.451253291,,,,,1.884840541,7.740393199
0.776309172,,,,,4.679928471,2.281353425
1.542383922,,,,,1.188271641,9.235006056
4.91964584,,,,,0.774271914,2.153732972
2.44350553,,,,,1.603584368,0.956361728
2.430538607,,,,,0.252292904,6.845644853
4.138620747,,,,,0.470329355,3.960256971
0.730999173,,,,,0.73963335,1.165258496
