Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_3,1_30,1_31,1_32,1_33,1_34,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_10,2_11,2_12,2_13,2_14,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_32,2_33,2_4,2_5,2_6,2_7,2_8,2_9
0,,,8.629665476,8.884267979,8.513244475,,,,,,,,,8.447682714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,8.942768156,8.848042212,8.716260958,,,,,,,,,8.572241281,,,,,,,,,,9.00707225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,8.85453415,9.130758883,8.859803924,,,,,,,,,8.471956908,,,,8.885416125,8.623268498,,,,,8.807203947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,8.756098207,9.154632673,8.850293625,,,,,,,,,8.270955199,,,,8.671368128,8.627801437,,,,,8.705597361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,8.952886033,9.380370435,8.54182751,,,,,,,,,8.499799768,,,,9.174367062,8.5522686,,,,,8.768227577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,8.555503994,8.529211643,9.135330926,9.294151613,,,,,,,,8.343083635,,,,8.854126806,8.588687132,,,,,8.561050792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,8.595318083,9.15387107,8.783640939,9.14305319,,,,,,,,8.346474218,,,,9.015224064,8.464227985,,,,,8.741044241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,8.658022893,9.080922442,8.606606875,8.968517708,,,,,,,,8.222182028,,,,8.941161031,8.584460456,,,,,8.746072942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,8.594073584,9.057864856,8.418922017,8.805816707,,,,,,,,,,,,8.686988519,8.607631591,,,,,8.763946485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,8.697366019,8.786466564,8.633593912,9.087318149,,,,,,,,8.253010071,,,,8.547646714,8.744175919,,,,,8.831704042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,8.272508348,0.377769893,7.987307283,,,,8.02749825,7.821141355,7.882163692,7.803716956,7.900183546,8.468814252,8.603916894,,8.293583056,7.943901309,8.268027427,8.592276819,8.50304945,8.462726631,8.411758875,8.387100579,9.109889561,,8.025265177,,7.779137582,7.992923337,8.193837091,8.885401312,8.844267856,,7.694848592,7.677846794,7.807711113,,,8.399976959,8.416589593,8.375407048,8.393077788,,,,,,,,,,,,,,,,,,,,8.163885303,,8.785919218,8.629666209,8.732466933,,
155,8.253087663,0.390810059,8.011259611,,,,,7.841586551,7.714059602,7.800603747,7.671209542,8.895532688,8.638819543,,8.282173814,8.038725632,8.298449827,,,8.441831546,8.321958184,8.583898212,8.986292551,,7.971970109,,8.126780407,8.072789764,8.072846728,8.596574963,8.833445982,8.038193754,7.545497067,7.877066782,7.732798672,,,8.342626801,8.3486966,8.358183517,8.461107097,,,,,,,,,,,,,,,,,,,,8.069279965,,8.836484557,8.802508901,8.485552485,,
160,8.269317515,0.31366554,,,,,8.216825952,7.814154042,7.753941191,7.863895653,7.795727855,8.610733191,8.490874974,,8.354438167,8.182494103,8.395705797,,,8.414019194,8.361451236,8.392055434,,,7.770000325,,8.054865202,7.93169306,8.136251468,8.521705662,8.655909712,8.332700196,7.877447081,7.949462939,7.942150377,,,8.477486294,8.803603185,8.234481781,8.315604521,,,,,8.442654946,,,,,,,,,,8.642692966,8.021847375,8.79458421,,,8.101919582,,8.480004726,8.783207208,8.509523432,,
165,8.24983721,0.318816329,,,,,7.889981031,7.821297663,7.664050695,7.74921452,7.841804897,8.322176002,8.599853839,,,8.056847542,8.193647245,,,8.553927508,8.318438406,8.415620832,,,7.713169249,,8.05606984,8.127267359,8.257533834,8.584701835,8.513781246,8.636138261,7.92270065,7.854229449,8.31733373,,,8.203656776,8.315568928,8.451867792,8.599728084,,,,,8.391020771,,,,,,,,,8.510043934,8.424190107,7.892001692,8.574018298,,,8.040803773,,8.711164869,8.847692536,8.372759142,,
170,8.212684123,0.369327277,,,,,7.726051889,7.656014662,7.531047774,7.855896376,7.727394498,8.263736942,8.546857522,,,8.202711145,8.177644459,,,8.733549631,8.215669502,8.199590818,,,7.656094456,,8.061319769,8.397926413,8.136748102,8.551083272,8.488760226,8.269590393,7.980153948,7.79962415,7.973273176,,,7.886070984,8.25047381,8.203381268,8.582353355,,,,,8.454102287,,,,,,,,,9.223396353,8.637617056,7.987533048,8.485472089,,,8.02959939,,8.530546669,8.716806436,8.305852433,,
175,8.236205143,0.365682903,,,,,,7.546244027,7.531058959,7.832217765,7.931822039,8.569360263,8.661460771,,7.932530329,8.096564038,8.181416034,,,8.586077309,8.299824967,8.047540953,,,7.671503446,,8.197417202,8.352125296,8.147329732,8.704096394,8.568543181,8.280198637,7.878389309,7.857450045,8.034874429,,,7.755229386,8.360484806,8.181316703,8.484353233,,,,,8.431082434,,,,,,,,,8.9629551,8.864694523,7.967984033,8.725587501,,,8.385622013,,8.394242579,8.600185124,8.245397446,,
180,8.210014107,0.355553036,,,,,7.745809795,7.595672131,7.822764348,7.890779051,8.083286204,,8.527777903,,7.950807321,8.183935343,8.02878307,,,8.212349194,8.248411528,7.934869597,,,7.89371278,,8.080859869,8.321322086,8.291214083,8.688602413,8.69841257,8.594109665,7.754682496,7.85047749,7.911951376,,,7.833832094,8.23583924,8.299423756,8.555395353,,,,8.459761762,8.626728878,8.412223889,,,,,,,,,8.988312918,7.938302782,9.039812797,,,8.073781735,7.909775447,8.319337663,8.647878959,8.119524375,,
185,8.234176462,0.329256357,,,,,,7.567532628,7.820904583,7.887645854,7.88563008,,,,8.000801447,8.156304958,8.210362842,,,,8.113463057,7.914994774,,,8.036612261,,8.134096963,8.442389768,8.33265419,8.445942061,8.559575273,8.535912782,8.017721991,8.021545643,7.750467689,,,8.357504469,8.335333953,8.301207993,8.427094197,,,,8.411677965,8.410751243,8.459182713,,8.242082096,,,,,,9.17480846,8.797888995,8.013243639,8.947992893,,,8.30922539,7.884739439,8.149695853,8.254836009,8.118528465,,
190,8.227534638,0.402129511,,,,,,7.716147595,7.689453342,7.717448091,8.036681046,,,,7.815033922,8.010039031,,,,,7.925979539,8.188283079,,,8.036526469,,8.159144049,8.429406916,8.27493277,8.708224341,8.669286991,8.605477686,7.986784851,7.888610252,7.804961874,,,8.151354148,8.068993451,8.084494963,8.277515227,,,,8.563090039,8.322417213,8.488512096,,8.640896884,,,,,,9.369763659,8.975018455,7.860295446,9.03001845,,,8.05486014,7.780626605,8.358810234,8.047659395,8.226964091,,
195,8.222053165,0.372669471,,,,,8.218644587,7.69431794,7.773620057,7.597458002,8.104180066,,,,7.897833805,8.326778607,,,,,7.873300942,8.215960457,,,8.017289311,,8.019651013,8.390918155,8.257017898,8.771613944,8.452055444,8.454091869,8.021589514,8.18550077,7.766653392,,,8.304236408,8.364641653,8.206824202,,,,,8.408825523,8.048963395,,,8.601925845,,,,,,9.104304201,9.223030236,7.912184692,8.614937026,,,8.224473072,7.626625239,8.449759751,8.116444015,8.304156593,,
