Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_3,1_30,1_31,1_32,1_4,1_5,1_6,1_7,1_8,2_1,2_10,2_11,2_12,2_13,2_15,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_32,2_4,2_5,2_6,2_7,2_8,2_9
155,8.169606966,0.380288855,7.953354759,8.084992798,8.050722439,,8.095543731,8.188876944,8.39776323,8.793843954,,,,,8.658703111,9.009633221,8.772787931,7.922900528,7.917966177,8.121257785,7.510775315,8.118433795,7.769039942,8.304356859,7.870950477,8.119841553,8.076844743,7.574851332,,,8.639410816,7.971470813,7.881867476,7.970140161,,,,,,,,,,,8.533862756,8.277121099,8.024068273,,,,,,,,,,7.683269976,,,,8.793556972,,,
160,8.103950155,0.345776948,8.113840709,,8.419859554,,8.16280524,8.258990732,8.472993486,8.664837977,,,,,8.343578147,,9.063483398,7.837441895,7.915311903,8.020872428,7.47034962,8.081978051,7.982885654,8.148335993,7.890480354,8.198829586,8.061000031,7.684693005,,,8.348125408,8.08596302,7.800681339,7.627980502,,,,,,,,,,,,8.06616469,7.86136943,,,,,,,,,,7.694071064,,,,8.529730975,,,
165,8.04023262,0.264889546,8.242138326,,8.103528199,,8.047532896,8.155322686,8.744675863,8.596490665,,,,,8.287244913,,,7.666429045,7.835466371,7.938177274,7.654881688,8.019910457,7.951981832,8.135852361,7.909795952,8.005792398,,7.721533644,,,8.372119343,7.998528167,7.759399059,7.699942447,,,,,,,7.879204944,,,,,8.277198622,8.014215901,,,,,,,8.039380714,,7.987588597,7.817509733,,,,8.26467127,,,
170,8.086937306,0.289814481,8.014094103,,8.176335531,,7.935649055,8.107899003,8.554280872,8.602248147,,,,,8.297834825,,8.75281628,7.784667252,7.832929039,8.003301331,7.785389316,8.109556908,8.068563231,8.092596656,7.764027775,8.023001682,,7.746213505,,,,8.080960988,7.760799589,7.709575504,,,,,,,8.129508017,,,,8.15670675,8.305591336,8.169425389,,,,,,,8.08599988,,7.940101576,7.727619458,,,,8.105588466,8.784837731,,
175,8.103377619,0.265979898,8.07692972,,8.195525798,,7.79288525,8.020563156,8.62828318,8.679375931,,,,,8.458665992,,,7.815321965,7.697686537,8.078085837,7.858050442,7.980379305,8.000016071,8.147362297,7.827738101,8.185729859,,7.798624059,,,,7.977895907,,8.134787747,,,,,,,8.064266527,,,,8.372082602,8.322449797,8.089898297,,,,,,,7.908267431,,7.966786067,7.851073952,,,,8.534131222,8.431710273,,
180,8.011749939,0.244780324,8.168193162,,8.086852511,,7.729724379,7.946290486,8.576029851,8.433663684,,,,,,,,7.953666444,7.831256058,7.83656594,7.858563859,7.832258962,7.868936852,7.928941089,7.854421621,7.845144171,,7.69215038,,,,,7.753052076,7.905583543,,,,,,,7.907599314,,,,8.198726086,8.387791756,7.990893003,,,,,,,7.931648424,,7.919113419,7.912199067,,,,8.336943506,8.606052461,8.10512293,7.943363205
185,7.999714018,0.289472462,8.097424467,,8.01784141,,7.8095598,7.869911956,8.711141854,8.450517254,,,,,,,,8.129463694,7.924226316,8.117500533,7.955837092,7.916385133,7.730912339,7.769662806,7.930667385,7.57460173,,7.709483174,,,,,7.80636548,7.927737353,,,,,,,8.132255787,,,,8.220734558,8.302239791,7.743450773,,,,,,,7.678081406,,7.672741192,7.948820617,,,,8.545859855,8.566040886,7.863913787,7.868328084
190,8.029345566,0.396758524,,,,,8.239948399,7.79048345,8.888193138,8.590156658,,,,,,,8.945884175,7.989848714,7.95856802,7.983285055,7.656293745,7.994916231,7.696145011,7.701425454,7.82280371,7.541151039,,7.679139298,,,,,7.708578956,7.975880482,,,,,7.861679925,7.799112811,7.83660887,,,,8.061520024,8.494967974,,,,,,,,7.78697683,,7.901281143,7.741582142,,,,8.603273802,8.845879864,7.85581928,7.89961722
195,8.044056845,0.323679558,,,,,8.086747409,7.879171692,8.434019827,8.56926074,,,,,,,,7.842534263,7.953261846,7.891282409,7.597126018,8.060783668,7.774208013,7.720335693,7.807674967,7.625772227,,7.654020208,,,,,,7.953416702,,,,,8.198902174,8.421213925,8.214891585,,,,8.068581013,8.296479055,8.021251782,8.89966981,,,,,,8.0401595,,8.021500082,7.587492307,,,,8.38501987,8.545452388,7.83561409,7.891805248
200,8.015483063,0.317649682,,,,,8.113415979,8.03451686,,,,,,,,,,7.781499519,7.910247329,7.890389282,7.542995805,8.053611615,7.856569542,8.016376746,7.818606512,7.731585445,,7.645895258,,,,,7.696595761,7.897902844,,,,,8.134029955,8.16926948,7.925054916,,,,8.261101037,8.346166209,7.837513185,9.051061597,,,,,,8.030430597,,8.030612969,7.68192218,,,,8.719807117,8.297785243,7.949857842,8.008704946
