Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_3,1_30,1_31,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_4,2_5,2_6,2_7,2_8,2_9
0,,,,,,,,,,,,,,,,,,,,,,,,9.06867923,9.134653486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,8.960819235,9.143496807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,8.596396493,,,,,,,,,,,,,,8.934082591,8.764868899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,8.623893379,,,,8.86573181,,,,,,,,,9.128510964,8.874030247,8.72985309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,8.636117658,,,,8.77440855,8.416555903,,,,,,,,8.919856692,8.778910145,8.729302578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,8.557012686,,8.314066359,,8.717742228,8.150937741,,,,,,,,9.111719043,8.548641925,8.46661974,,,,,8.685623862,8.640551722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,8.581951145,,8.469835919,,8.732592149,8.333612076,,,,,,,,8.897497056,8.541803692,8.280861545,,,,,8.620431335,8.631223399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,8.440374813,,8.619181827,,8.53249263,8.221563281,,,,,,,,9.012057225,8.339104114,8.387918364,,,,,8.531769386,8.614080844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,7.990611325,0.274538992,7.846089766,7.565858855,7.790684728,7.91002507,,,8.125369359,,8.33452807,,,,,7.78137813,,8.511570081,8.129530183,7.914865371,7.937455532,7.625095032,,,,,7.680006638,7.873459727,7.985551888,,,,,8.15532592,,,,,7.856071223,,,,,,,,7.681770066,7.721625837,7.804275258,,7.873354871,7.908414105,7.983453527,8.784361808,,8.304639751,8.188930216,8.199543045,8.232402774,8.022091596,
200,7.982151927,0.294602817,7.914069191,7.464631542,7.699660056,7.828901442,,,8.057166172,,8.310064574,,,,,7.803466155,,8.61430152,8.080852661,7.918261664,7.937309235,7.614177985,,,,,7.670160197,7.849927432,8.018184317,,,,,,,,,,7.952771264,,,,,,,,7.588441745,7.822335509,7.792490686,,7.732304459,8.039381417,7.938045936,8.58465534,,8.564989407,8.284862937,8.168809378,8.141041459,8.108990282,
205,7.979794913,0.257149336,7.858974354,7.489296536,7.735948295,7.758862411,,,8.017122021,,8.169876961,,,,,7.936332925,,8.488076306,8.168211593,7.925827645,7.885776055,7.569632982,,,,,7.621469798,7.805248945,8.196224538,,,,,8.069418212,,7.68904557,,,7.924552732,,,7.854524336,,,,,7.733646986,7.828310989,8.025624936,,7.854438057,7.968166576,7.967019519,8.611515495,,8.399917441,8.200748519,8.224362666,8.11271867,8.073143965,8.18940118
210,7.940446587,0.222014466,7.914366793,7.517781594,7.6900377,7.793266145,,,7.987252708,,8.143655321,,,,,8.020162388,,8.255215308,8.058426855,7.941846892,7.866576404,7.53715601,,,,,7.704460299,7.725989849,8.130216546,,,,,8.006346359,,7.615896064,,,7.910072009,,,7.811352258,,,,,7.820246706,7.8222104,7.924030424,,7.874696738,7.946940337,7.956836929,8.555060807,,8.175570159,8.094738328,8.148063175,8.180235502,8.175213975,7.790369791
215,7.937492712,0.214083467,7.897094772,7.56112679,7.657167701,7.956400685,,,8.045457056,,8.191785428,,,,,7.981307276,,,7.997346541,7.858922112,7.85520908,7.466389696,,,,,7.61626485,,8.048187795,,,,,7.905870443,,7.681672175,,,7.952136861,,,7.867816363,,,,,7.777097933,7.822538876,7.919475025,,7.920775616,8.042825854,7.945740717,8.298464874,,8.438395772,8.027553952,8.234397773,8.07148192,8.174981482,7.910895933
220,7.959273408,0.247758178,7.786682902,7.611419721,7.680495639,8.227738336,,,8.018964718,,8.270750112,,,,,8.059630841,,,8.023818172,7.826216586,7.906050235,7.585653592,,,,,7.653346426,7.79157373,8.006835702,,,,,7.984135478,,7.634429979,,,,,,7.800419393,,,,,7.78214109,7.800818745,7.924160069,,7.689176779,7.9307456,7.955147097,8.531232624,,8.123701824,8.338697183,8.224361708,8.39074938,8.204452489,8.014656086
225,7.941916911,0.236336351,7.739178441,7.592199055,7.665767462,7.979816017,,,7.890327006,,8.162175992,,,,,7.986122879,,,8.106520906,7.955657962,7.873266664,7.500190298,,,,,7.627407246,7.800884317,7.990879422,,,,,8.073830528,,7.650698906,,,,,,7.737270323,,,,,7.624319827,7.77160072,7.920764413,,8.07457219,7.970238583,7.929544825,8.223146472,,8.097987087,8.232028268,8.380123537,8.414926978,8.144511978,8.141549023
230,7.931136411,0.282821906,7.717851763,7.637528763,7.668955526,7.81006383,,,7.961897312,,8.313309051,,,,,,,,7.996501343,7.837359749,7.753436626,7.530631125,,,,,7.682256507,7.662110935,7.920940027,,,,,8.053729519,,7.619766547,,,,,,7.709353609,,,,,7.55403771,7.772599975,7.90586355,,7.901562939,7.833265398,7.927273114,8.336465594,,8.378715542,8.235779895,8.46175836,8.528138286,8.072249669,8.219553663
235,7.943849052,0.268564589,7.747825986,7.580044635,7.692949229,8.064369432,,,8.079636964,,8.519373014,,,,,,,,8.113708291,7.784475497,7.750806432,7.549560629,,,,,7.610246295,7.795268325,8.045151938,,,,,8.112851013,,,,,,,,8.00547589,,,,,7.617640219,7.67633128,7.903773092,,7.949127152,7.689642246,7.98171689,,,8.396966256,8.248644336,8.321169764,8.221153719,,8.082166839
240,7.879391344,0.251485549,7.939202637,7.511343886,7.659341702,7.861722205,,,8.067657603,,8.297691674,,,,,,,,8.111949246,7.835963728,7.821112662,7.571440726,,,,,7.584911251,7.709073061,8.192888136,,,,,8.04319498,,7.538680565,,,,,,7.93876097,,,,,7.652200021,7.639886219,7.755451833,,7.902131987,7.722856391,7.670229234,,,8.454170951,7.919746516,8.245482516,8.135940483,,7.960535115
